id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_il_6m,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,issue_d
188978561024,null,11400.0,11400,11400.0,60 months,30.99%,375.8,G,G5,MANAGER,1 year,RENT,30000.0,Verified,Current,n,null,null,moving,Moving and relocation,658xx,MO,18.92,0.0,Jan-2013,0,null,null,10,0,12281,65.7%,14.0,f,11235.11,11235.11,712.35,712.35,164.89,547.46,0.0,0.0,0.0,Aug-2017,375.8,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,30217,0,4,1,2,11,17936,99,2,8,7490,82,18700,3,0,12,10,3022,4519,73.1,0.0,0,52.0,21,9,9,0,9,null,8,null,0,4,4,4,5,6,6,8,4,10,0,0,0,3,100.0,50.0,0,0,36842,30217,16800,18142,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561025,null,20000.0,20000,20000.0,60 months,14.08%,466.2,C,C3,NCO,10+ years,MORTGAGE,65000.0,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,759xx,TX,27.73,3.0,Oct-2003,1,13,null,13,0,8115,42%,34.0,w,19534.21,19534.21,1002.81,1002.81,465.79,537.02,0.0,0.0,0.0,Aug-2017,466.2,Sep-2017,Aug-2017,0,30,1,INDIVIDUAL,null,null,null,0,0,261699,3,5,1,1,2,54111,34,1,1,2424,37,19300,1,0,11,3,21808,4551,45.2,0.0,0,163.0,123,2,2,3,71,13,2,13,2,2,5,3,4,19,7,12,5,13,0,0,0,3,82.4,33.3,0,0,300677,62226,8300,80793,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561026,null,20000.0,20000,20000.0,60 months,12.62%,451.19,C,C1,Virtual Hosting Engineer,5 years,MORTGAGE,93000.0,Source Verified,Current,n,null,null,debt_consolidation,Debt consolidation,300xx,GA,9.83,0.0,Aug-2004,1,27,null,6,0,10213,38%,17.0,w,19515.75,19515.75,979.51,979.51,484.25,495.26,0.0,0.0,0.0,Aug-2017,451.19,Sep-2017,Aug-2017,0,27,1,INDIVIDUAL,null,null,null,0,0,187710,1,1,1,1,6,13208,88,1,1,6814,38,27000,0,0,3,2,31285,6750,38.0,0.0,0,109.0,153,12,6,4,12,27,0,27,0,4,4,1,5,4,4,9,2,6,null,0,0,2,71.0,0.0,0,0,229818,23421,27000,15000,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561027,null,10000.0,10000,10000.0,36 months,9.93%,322.35,B,B2,pastry chef,8 years,RENT,30000.0,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,342xx,FL,8.61,0.0,Jul-2007,0,null,null,11,0,6260,14.2%,13.0,f,8961.51,8961.51,1188.97,1188.97,1038.49,150.48,0.0,0.0,0.0,Aug-2017,600.0,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,6260,2,0,0,0,97,0,null,3,9,2639,14,43100,0,0,0,9,569,33540,15.5,0.0,0,97.0,118,2,2,0,2,null,13,null,0,5,5,9,10,1,11,12,5,11,0,0,0,3,100.0,0.0,0,0,43100,6260,39800,0,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561028,null,16000.0,16000,16000.0,60 months,29.69%,514.62,F,F2,Nursing assistant,4 years,RENT,40000.0,Verified,Current,n,null,null,other,Other,980xx,WA,28.75,0.0,Mar-2009,0,null,null,12,0,9831,76.8%,20.0,w,15759.55,15759.55,1068.83,1068.83,240.45,828.38,0.0,0.0,0.0,Aug-2017,514.62,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,37343,0,2,0,3,16,27512,76,0,3,1944,76,12800,0,4,2,6,3112,1419,75.1,0.0,0,67.0,98,15,15,0,24,null,0,null,0,5,9,6,6,9,10,11,9,12,0,0,0,0,100.0,83.3,0,0,49214,37343,5700,36414,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561029,null,17000.0,17000,17000.0,60 months,30.75%,557.87,F,F5,Dealer,7 years,MORTGAGE,53000.0,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,295xx,SC,12.25,0.0,Sep-2000,0,null,32,6,1,8447,75.4%,9.0,w,16752.38,16752.38,1086.7,1086.7,247.62,839.08,0.0,0.0,0.0,Aug-2017,557.87,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,116507,1,1,1,1,8,16166,92,2,2,4281,86,11200,1,0,2,4,19418,1966,77.9,0.0,0,110.0,200,2,2,2,2,null,8,null,0,3,4,3,3,3,4,4,4,6,0,0,0,3,100.0,33.3,0,1,122662,24613,8900,17547,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561030,null,27100.0,27100,27100.0,60 months,30.17%,879.61,F,F3,null,n/a,RENT,61602.0,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,331xx,FL,21.76,0.0,Apr-2001,1,null,null,7,0,25521,89.9%,15.0,f,26698.47,26698.47,1668.37,1668.37,401.53,1266.84,0.0,0.0,0.0,Aug-2017,879.61,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,60868,1,2,0,1,19,35347,68,3,3,9068,84,28400,0,6,2,4,10145,2879,89.9,0.0,0,93.0,193,5,5,0,5,null,6,null,0,4,4,5,9,4,5,10,4,7,0,0,0,3,100.0,75.0,0,0,74256,60868,28400,45856,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561031,null,16500.0,16500,16500.0,60 months,16.02%,401.43,C,C5,Database Manager,10+ years,MORTGAGE,69500.0,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,201xx,VA,30.53,0.0,Nov-2005,1,null,null,13,0,9396,64.4%,39.0,w,16135.27,16135.27,898.32,898.32,364.73,533.59,0.0,0.0,0.0,Aug-2017,401.43,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,194777,1,4,2,6,2,40189,61,0,1,5112,59,14600,2,5,3,8,14983,3885,64.4,0.0,0,138.0,104,23,2,3,23,null,2,null,0,4,6,4,4,25,7,10,6,13,0,0,0,3,100.0,50.0,0,0,239752,50310,10900,74566,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561032,null,14000.0,14000,14000.0,60 months,13.59%,322.79,C,C2,Manager,1 year,MORTGAGE,51000.0,Source Verified,Current,n,null,null,credit_card,Credit card refinancing,378xx,TN,22.09,0.0,Oct-1995,1,null,null,13,0,13855,58.5%,23.0,w,13669.66,13669.66,624.44,624.44,330.34,294.1,0.0,0.0,0.0,Aug-2017,322.79,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,192412,1,2,0,1,14,13860,55,1,2,3138,57,23700,0,2,4,4,14801,8435,50.7,0.0,0,100.0,259,9,4,2,9,null,1,null,0,5,7,8,11,7,10,14,7,13,0,0,0,2,100.0,50.0,0,0,214456,27715,17100,25309,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
188978561033,null,16000.0,16000,16000.0,60 months,14.08%,372.96,C,C3,PO2,6 years,MORTGAGE,67620.0,Source Verified,Current,n,null,null,debt_consolidation,Debt consolidation,920xx,CA,14.69,0.0,Jul-2011,1,null,null,7,0,12300,82%,12.0,w,15627.37,15627.37,720.89,720.89,372.63,348.26,0.0,0.0,0.0,Aug-2017,372.96,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,326613,1,2,0,1,20,11957,36,0,1,0,51,15000,0,7,2,3,54436,null,null,0.0,0,55.0,70,15,6,1,null,null,1,null,0,0,2,0,0,5,4,6,2,7,0,0,0,1,100.0,null,0,0,352212,24257,0,32805,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jun-2017
